Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building,Url
RBU61383,hoboken,2660,299000.0,house,residence,standard,3.0,176.0,0,0,0,,30.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61383
RBU61403,merksem,2170,439000.0,house,residence,standard,4.0,189.0,0,0,0,,114.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu61403
RBU61404,wilrijk,2610,264000.0,house,residence,standard,2.0,107.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu61404
RBU43493,deurne,2100,329000.0,house,residence,standard,4.0,139.0,0,0,0,,25.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu43493
RBU50579,borgerhout,2140,340000.0,house,residence,standard,2.0,187.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu50579
RBU61492,hoboken,2660,499000.0,house,residence,standard,4.0,246.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61492
RBU50511,wilrijk,2610,329000.0,house,residence,standard,3.0,116.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu50511
RBU50595,berchem,2600,665000.0,house,residence,standard,4.0,190.0,0,0,0,,30.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbu50595
RBU31064,ekeren,2180,399000.0,house,residence,standard,4.0,166.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu31064
RBU23697,hoboken,2660,364000.0,house,residence,standard,3.0,165.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23697
RBU08868,hoboken,2660,795000.0,house,residence,standard,5.0,535.0,0,0,0,,210.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu08868
RBU37604,deurne,2100,229000.0,house,residence,standard,2.0,103.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu37604
RBU07478,wilrijk,2610,385000.0,house,residence,standard,4.0,168.0,0,0,0,,100.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu07478
RBU43494,ekeren,2180,335000.0,house,residence,standard,3.0,155.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu43494
RBS62573,antwerp,2020,349000.0,house,residence,standard,5.0,181.0,0,0,0,,25.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbs62573
RBS93664,antwerp,2030,295000.0,house,residence,standard,3.0,131.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbs93664
RBS60539,antwerp,2060,320000.0,house,residence,standard,3.0,129.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs60539
RBT79476,antwerp,2030,329000.0,house,residence,standard,3.0,126.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbt79476
RBT96439,antwerp,2020,299000.0,house,residence,standard,3.0,130.0,0,0,0,,90.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbt96439
RBU43470,antwerp,2018,480000.0,house,residence,standard,3.0,122.0,0,0,0,,,,0,New,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu43470
RBU16446,antwerp,2020,525000.0,house,residence,standard,3.0,290.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu16446
RBS95130,antwerp,2060,549000.0,house,residence,standard,7.0,245.0,0,0,0,,66.0,,0,,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs95130
RBU16486,antwerp,2018,919000.0,house,residence,standard,5.0,387.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16486
RBU16512,hoboken,2660,445000.0,house,residence,standard,4.0,185.0,0,0,0,,155.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu16512
RBU16914,deurne,2100,279000.0,house,residence,standard,5.0,119.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16914
RBU16729,ekeren,2180,399000.0,house,residence,standard,3.0,220.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu16729
RBU16621,wilrijk,2610,497200.0,house,residence,standard,3.0,228.0,0,0,0,,95.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu16621
RWC40525,deurne,2100,459500.0,house,residence,standard,4.0,168.0,0,0,0,,161.0,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rwc40525
RBU19867,deurne,2100,295000.0,house,residence,standard,2.0,134.0,0,0,0,,11.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu19867
RBU20194,merksem,2170,349000.0,house,residence,standard,4.0,180.0,0,0,0,,3.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20194
RBU20484,antwerp,2018,490000.0,house,residence,standard,3.0,117.0,0,0,0,,,,0,Fully renovated,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu20484
RBU20383,ekeren,2180,309000.0,house,residence,standard,3.0,159.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20383
RBU20382,ekeren,2180,309000.0,house,residence,standard,3.0,167.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20382
RBU20695,hoboken,2660,349000.0,house,residence,standard,5.0,189.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20695
RBU20192,merksem,2170,315000.0,house,residence,standard,4.0,186.0,0,0,0,,78.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20192
RBU20697,hoboken,2660,355000.0,house,residence,standard,7.0,333.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20697
RBU20703,antwerp,2018,1095000.0,house,master-house,standard,4.0,,0,0,0,,,,0,Fully renovated,https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu20703
RBU23166,hoboken,2660,199000.0,house,residence,standard,1.0,116.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23166
RBU23653,deurne,2100,219000.0,house,residence,standard,2.0,134.0,0,0,0,,40.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu23653
RBU23315,antwerp,2018,665000.0,house,master-house,standard,4.0,190.0,0,0,0,,,,0,Fully renovated,https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu23315
RBT45088,antwerp,2060,469000.0,house,residence,standard,2.0,238.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt45088
RBT48197,antwerp,2060,495000.0,house,residence,standard,4.0,333.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt48197
RBT46918,antwerp,2060,165000.0,house,residence,standard,2.0,42.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt46918
RBT66718,berchem,2600,375000.0,house,residence,standard,4.0,184.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbt66718
RBT68986,antwerp,2018,973000.0,house,residence,standard,5.0,286.0,0,0,0,,,,0,Fully renovated,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt68986
RBT73823,wilrijk,2610,650000.0,house,villa,standard,3.0,195.0,0,0,0,,200.0,,0,To be renovated,https://immovlan.be/en/detail/villa/for-sale/2610/wilrijk/rbt73823
RBT87283,antwerp,2000,399000.0,house,residence,standard,3.0,75.0,0,0,0,,8.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2000/antwerp/rbt87283
RBT73777,antwerp,2060,595000.0,house,residence,standard,7.0,250.0,0,0,0,,10.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt73777
RBT87482,hoboken,2660,310000.0,house,residence,standard,2.0,171.0,0,0,0,,131.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbt87482
RBT77260,borgerhout,2140,280000.0,house,residence,standard,4.0,177.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbt77260
