url,municipality_url,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,number_of_bathrooms,number_of_toilets,elevator,floor_of_appartment,number_of_facades,frontage_width,garden,terrace,surface_terrace,ground_depth,gas,running_water,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,cadastral_income,garage,orientation_of_the_front_facade,specific_primary_energy_consumption,epc_peb_reference,validity_date_epc_peb,certification_as_build_,build_year,type_of_heating,type_of_glazing,air_conditioning,alarm,access_for_disabled,balcony,the_property_and_or_its_surroundings_are_protected_
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu57410,merksem,RBU57410,315000,0,New,0,On contract,2,88,0,1,2,0,1,2,7 m,,,5,50 m,1,1,"yes, certificate in accordance",0,"Residential zone (residential, urban)",no flooding area,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu61054,hoboken,RBU61054,209000,0,Normal,0,Immediately,1,75,0,,,1,4,2,,,,18,,,,"yes, certificate in accordance",0,"Residential zone (residential, urban)",no flooding area,,800,1,South,197,20210915-0002464740-RES-1,15/09/2031,0,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu61334,berchem,RBU61334,349000,0,,0,On contract,2,115,,,,0,,,,,,,,,,,,"Residential zone (residential, urban)",no flooding area,,,,,,,,,1970,Fuel oil,Double glass,0,0,0,0,0
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu57411,merksem,RBU57411,310000,0,New,0,On contract,2,88,0,1,2,0,2,2,7 m,,,5,50 m,1,1,"yes, certificate in accordance",0,"Residential zone (residential, urban)",no flooding area,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rwc41053,deurne,RWC41053,229000,0,Excellent,0,Negotiable,2,92,,1,,,3,2,,,,,,1,1,"yes, certificate in accordance",0,,no flooding area,,,1,,175,2404004,,0,1963,Gas,Double glass,,,,,0
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu57413,merksem,RBU57413,305000,0,New,0,On contract,2,88,0,1,2,0,3,2,7 m,,,5,50 m,1,1,"yes, certificate in accordance",0,"Residential zone (residential, urban)",no flooding area,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2180/ekeren/rbu57424,ekeren,RBU57424,259000,0,Excellent,0,Immediately,2,101,0,1,1,0,1,2,7 m,,,,36 m,1,1,"yes, certificate in accordance",0,"Residential zone (residential, urban)",no flooding area,,,,South-east,125,2889788,11/05/2033,,1971,Gas,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu50788,antwerp,RBU50788,235000,0,,0,On contract,2,95,,1,,0,4,,,,,,,,,,0,"Residential zone (residential, urban)",no flooding area,,,,,101,3560648,,,1972,Gas,Double glass,0,0,0,0,0
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu49617,antwerp,RBU49617,340000,0,Normal,0,On contract,2,91,0,1,1,1,2,2,50 m,,,6,12 m,1,1,"yes, certificate in accordance",0,"Residential zone (residential, urban)",no flooding area,,1025,1,South,85,20251013-0003705646-RES-1,,,2013,Gas,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu52305,berchem,RBU52305,279000,0,Normal,1,,2,84,0,1,1,0,2,2,,,,3,,1,1,"yes, certificate in accordance",0,,no flooding area,,,1,West,166,,28/03/2033,,1968,Gas,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu51849,antwerp,RBU51849,310000,0,Normal,0,On contract,1,55,0,1,1,0,2,2,,,,3,14 m,1,1,"yes, certificate in accordance",0,"Residential zone (residential, urban)",no flooding area,,,,North-west,155,202510240003691567-RES1,24/10/2025,,,Gas,,,,,,
