url,postal_code,municipality,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,surface_of_living_room,cellar,garage,number_of_garages,surface_kitchen,number_of_bathrooms,number_of_toilets,solar_panels,type_of_heating,type_of_glazing,alarm,elevator,access_for_disabled,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,surface_garden,terrace,surface_terrace,total_land_surface,ground_depth,terrain_width_at_the_roadside,sewer_connection,gas,rain_water_tank,specific_primary_energy_consumption,yearly_total_primary_energy_consumption,validity_date_epc_peb,co2_emission,certification_electrical_installation,building_permission_granted,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd43554,1120,neder-over-heembeek,VBD43554,690 000 €,No,Excellent,No,On contract,4,18 m²,16 m²,17 m²,85 m²,231 m²,40 m²,Yes,Yes,1,7 m²,1,3,Yes,Gas,Double glass,Yes,No,No,South-west,3,8 m,3,1,Yes,191 m²,Yes,24 m²,284 m²,25 m,8 m,Yes,Yes,Yes,147 kWh/m²/year,33068 kWh/year,02/06/2035,30,"yes, certificate in accordance",Yes,Yes,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbu60823,1000,brussels,RBU60823,1 100 000 €,No,To be renovated,No,On contract,6,,,,,360 m²,20 m²,,,,,3,4,,Gas,,,No,,,,,,,Yes,150 m²,No,,248 m²,,,,,,271 kWh/m²/year,,,,"No, certificate does not comply",,,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbc94642,1120,neder-over-heembeek,VBC94642,385 000 €,No,Excellent,No,,3,14 m²,39 m²,39 m²,,,31 m²,,Yes,3,6 m²,1,1,,Gas,Double glass,,,,,2,11 m,2,,,,,,105 m²,,11 m,,,,373 kWh/m²/year,66527 kWh/year,,75,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd38465,1000,brussels,VBD38465,650 000 €,No,To renovate,,,4,12 m²,16 m²,7 m²,,140 m²,,,,,,3,4,,Gas,Double glass,,No,No,,2,,,,No,,No,,,,,,Yes,,246 kWh/m²/year,,,48,No certificate,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd27551,1000,brussels,VBD27551,1 195 000 €,No,Excellent,,,5,12 m²,12 m²,13 m²,13 m²,321 m²,,,,,,3,3,,,Double glass,,No,No,,2,,,,Yes,50 m²,Yes,10 m²,115 m²,,,,,,259 kWh/m²/year,,,51,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1120/neder-over-heembeek/vbd09243,1120,neder-over-heembeek,VBD09243,760 000 €,No,To renovate,Yes,,8,16 m²,15 m²,16 m²,15 m²,320 m²,31 m²,Yes,,,7 m²,4,4,,Gas,Double glass,,No,No,North-west,3,9 m,,,Yes,83 m²,Yes,30 m²,225 m²,,9 m,Yes,Yes,,1422 kWh/m²/year,76044 kWh/year,01/08/2035,286,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vwd05209,1000,brussels,VWD05209,795 000 €,No,,,,6,15 m²,12 m²,15 m²,20 m²,279 m²,,,Yes,,,,,,Gas,Double glass,,,,,2,,,,,,Yes,,,,,,Yes,,342 kWh/m²/year,,,68,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/1120/neder-over-heembeek/vbc97228,1120,neder-over-heembeek,VBC97228,675 000 €,No,,No,,4,,,,,215 m²,70 m²,,Yes,2,,1,,Yes,Gas,,,,,South,4,,,2,Yes,320 m²,Yes,30 m²,689 m²,,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1020/laken/vaz88971,1020,laken,VAZ88971,900 000 €,No,Excellent,Yes,Immediately,9,18 m²,18 m²,15 m²,14 m²,285 m²,30 m²,Yes,,,12 m²,7,5,,Gas,Double glass,Yes,No,No,East,3,5 m,2,,Yes,105 m²,Yes,18 m²,723 m²,,5 m,Yes,Yes,,518 kWh/m²/year,,,104,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbi62517,1000,brussels,RBI62517,2 400 000 €,No,Excellent,,,10,,,,,680 m²,,Yes,Yes,2,,9,,Yes,Gas,Double glass,,Yes,,,3,,,4,,,Yes,15 m²,230 m²,,,,,,144 kWh/m²/year,,22/05/2030,,"yes, certificate in accordance",,,No,(information not available),(information not available)
