url,municipality_url,property_id,price,vat,state_of_the_property,build_year,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,furnished,surface_of_living_room,attic,kitchen_equipment,kitchen_type,surface_kitchen,number_of_bathrooms,number_of_toilets,type_of_heating,type_of_glazing,elevator,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,terrace,total_land_surface,terrain_width_at_the_roadside,sewer_connection,gas,running_water,swimming_pool,specific_primary_energy_consumption,certification_electrical_installation,certification_electrical_installation_validity,building_permission_granted,planning_permission_granted,preemption_right,g_score,p_score,flooding_area_type,demarcated_flooding_area,water_sensitive_open_space_areas,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbt79174,waregem,RBT79174,259000,0,To renovate,1938,On contract,4,17,13,13,11,157,0,35,1,Partially equipped,Kitchenette,25,1,1,Gas,Double glass,0,North,3,5 m,2,1,None,None,304,5 m,1,1,1,0,510,"yes, certificate in accordance",12/07/2010,1,0,0,A,A,no flooding area,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbp41033,beveren-leie,RBP41033,355000,None,New,None,Immediately,3,None,None,None,None,126,0,None,None,Fully equipped,None,None,1,2,None,Double glass,0,None,None,None,None,1,None,None,None,None,None,1,1,None,5,"yes, certificate in accordance",None,1,1,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbk39617,beveren-leie,RBK39617,429000,0,New,None,Immediately,3,12,9,10,None,150,0,22,None,Fully equipped,None,17,1,2,None,Double glass,0,None,None,None,None,1,None,None,None,None,None,0,1,None,None,"yes, certificate in accordance",None,1,1,0,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/mansion/for-sale/8790/waregem/rbq20588,waregem,RBQ20588,480000,0,Excellent,None,Immediately,4,19,11,19,19,187,0,28,1,Fully equipped,None,12,2,3,None,Double glass,0,None,None,None,None,None,None,None,None,None,None,1,1,None,222,"yes, certificate in accordance",None,1,0,0,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbq82306,beveren-leie,RBQ82306,320000,None,Normal,None,Immediately,3,None,None,None,None,125,0,None,None,Fully equipped,None,None,1,2,None,Double glass,0,None,None,None,None,1,None,None,None,None,None,0,1,None,10,"yes, certificate in accordance",None,1,1,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbq82294,beveren-leie,RBQ82294,325000,None,New,None,Immediately,3,None,None,None,None,126,0,None,None,Fully equipped,None,None,1,2,None,Double glass,0,None,None,None,None,1,None,None,None,None,None,0,1,None,5,"yes, certificate in accordance",None,1,1,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8793/sint-eloois-vijve/rbs12049,sint-eloois-vijve,RBS12049,269000,0,Normal,None,Immediately,4,14,7,15,13,198,0,22,1,Fully equipped,None,None,2,1,None,Double glass,0,None,None,None,None,1,None,None,None,None,None,0,1,None,637,"No, certificate does not comply",None,0,0,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbs53819,waregem,RBS53819,None,0,Excellent,None,None,10,None,None,None,None,348,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,917,None,None,1,1,None,69,"yes, certificate in accordance",None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8793/sint-eloois-vijve/rbs43405,sint-eloois-vijve,RBS43405,425500,None,None,2024,None,3,None,None,None,None,144,None,None,None,Super equipped,None,None,1,2,None,Double glass,None,None,2,None,2,None,None,None,None,None,None,None,None,None,None,"yes, certificate in accordance",None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbs23374,beveren-leie,RBS23374,359000,0,Normal,None,Immediately,5,None,None,None,None,210,0,None,1,Fully equipped,None,None,1,2,None,Double glass,0,None,None,None,None,1,None,None,None,None,None,1,1,None,253,"No, certificate does not comply",None,1,1,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/villa/for-sale/8791/beveren-leie/rwc39113,beveren-leie,RWC39113,346550,None,Excellent,2025,Negotiable,3,None,None,None,None,616,None,None,1,Super equipped,Western kitchen,None,1,None,Gas,Double glass,None,None,4,None,None,1,None,None,616,None,1,1,1,None,None,"yes, certificate in accordance",None,None,1,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8793/sint-eloois-vijve/rbt44961,sint-eloois-vijve,RBT44961,375000,None,New,2025,None,3,None,None,None,None,150,0,None,None,None,None,None,1,2,Hot air,Double glass,0,None,3,None,2,None,None,None,276,None,1,None,1,0,28,"yes, certificate in accordance",None,1,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/mixed-building/for-sale/8792/desselgem/rbt67940,desselgem,RBT67940,479000,0,Normal,1966,On contract,4,None,None,None,None,435,None,None,1,Fully equipped,Western kitchen,None,1,2,Not specified,Double glass,0,None,2,None,2,None,None,None,732,None,None,1,1,0,209,None,None,None,None,None,A,A,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/vbc64665,beveren-leie,VBC64665,275000,0,None,None,None,3,None,None,None,None,220,0,32,1,None,None,None,1,2,None,None,0,South-east,2,79 m,1,None,None,None,818,None,None,None,None,None,None,"yes, certificate in accordance",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8792/desselgem/rbt76192,desselgem,RBT76192,295000,0,Normal,1938,On contract,2,None,None,None,None,120,None,None,None,None,Independent,None,1,1,Gas,Double glass,0,None,3,None,2,3,None,None,680,None,1,1,1,0,262,"yes, certificate in accordance",None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rwc40268,waregem,RWC40268,329050,None,Excellent,2025,Negotiable,3,None,None,None,None,1,None,None,1,Super equipped,Western kitchen,None,1,None,Solar energy,Double glass,None,None,3,None,None,None,None,None,355,None,1,1,1,None,None,None,None,None,1,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbt79807,waregem,RBT79807,379000,0,Excellent,None,None,4,20,12,12,22,195,None,32,1,None,None,None,2,None,None,Double glass,None,None,3,6 m,None,None,None,None,562,17 m,None,1,1,0,185,"No, certificate does not comply",None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/villa/for-sale/8790/waregem/rwc40074,waregem,RWC40074,356050,None,Excellent,2025,Negotiable,3,None,None,None,None,1,None,None,1,Super equipped,Western kitchen,None,1,None,Solar energy,Double glass,None,None,4,None,None,2,None,None,370,None,1,1,1,None,None,"yes, certificate in accordance",None,None,1,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbu24402,waregem,RBU24402,595000,0,None,None,None,None,None,None,None,None,751,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1435,None,None,None,1,None,383,None,None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/mixed-building/for-sale/8792/desselgem/rbu22693,desselgem,RBU22693,449000,0,Normal,1966,On contract,4,None,None,None,None,435,0,None,1,None,None,None,1,2,Gas,None,0,South-east,2,15 m,None,None,None,None,732,None,None,1,1,None,209,None,None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbi48412,waregem,RBI48412,386940,None,New,None,None,3,None,None,None,None,136,None,None,None,None,None,None,1,2,None,None,None,None,3,None,None,None,None,None,544,None,None,None,None,None,20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/cottage/for-sale/8792/desselgem/vbd27943,desselgem,VBD27943,None,0,Excellent,1900,None,5,None,None,None,None,2500,0,None,1,Super equipped,None,None,5,None,Gas,Double glass,0,None,4,None,None,None,None,None,27546,None,1,1,1,0,119,"yes, certificate in accordance",None,1,0,0,A,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbu33505,waregem,RBU33505,399500,0,Normal,1958,None,4,None,None,None,None,200,0,None,1,Super equipped,None,None,2,2,Gas,Double glass,0,None,2,None,2,None,None,None,281,None,None,1,1,0,169,"yes, certificate in accordance",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbu32713,waregem,RBU32713,375000,0,Excellent,None,On contract,4,None,None,None,None,160,0,None,None,Fully equipped,Western kitchen,None,2,3,Gas,None,0,None,3,None,3,1,None,None,300,None,None,None,None,0,269,"yes, certificate in accordance",None,None,None,None,None,None,None,None,None,None,None,None,None,None
