url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/9150/bazel/rbu61997,9150,bazel,RBU61997,298 000 €,No,No,On contract,2,No,Yes,Yes,1,1,2,Not specified,No,North-west,2,2,Yes,Yes,390 kWh/m²/year,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2480/dessel/rbu60928,2480,dessel,RBU60928,245 000 €,No,No,On contract,3,No,Yes,Yes,1,1,1,Fuel oil,No,,3,,Yes,Yes,629 kWh/m²/year,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5670/nismes/vbd45570,5670,nismes,VBD45570,290 000 €,No,No,,5,No,,,,3,4,Fuel oil,No,,,,Yes,No,217 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2560/nijlen/rbu59459,2560,nijlen,RBU59459,360 000 €,No,No,On contract,3,No,Yes,Yes,1,1,1,Gas,No,South,3,,Yes,Yes,291 kWh/m²/year,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8670/oostduinkerke/rbu58498,8670,oostduinkerke,RBU58498,333 000 €,No,No,On contract,2,Yes,,,,1,2,Not specified,No,South,2,2,Yes,Yes,134 kWh/m²/year,,Residential recreation aria,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/4780/recht/vwd15127,4780,recht,VWD15127,234 000 €,No,No,On contract,3,,Yes,Yes,,1,,Fuel oil,,South,4,,Yes,Yes,439 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8490/jabbeke/rwc41046,8490,jabbeke,RWC41046,439 850 €,,,On contract,4,,Yes,Yes,,1,,Electricity,,,,,Yes,Yes,20 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8370/blankenberge/rwc41047,8370,blankenberge,RWC41047,348 800 €,,,On contract,3,,,Yes,,1,,Electricity,,,,,Yes,Yes,20 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5380/forville/vbd42885,5380,forville,VBD42885,895 000 €,No,,,4,No,Yes,,,1,2,,No,,4,1,Yes,Yes,273 kWh/m²/year,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6250/aiseau-presles/vbd42976,6250,aiseau-presles,VBD42976,359 000 €,No,,,3,,,Yes,1,1,2,Gas,No,,4,,Yes,Yes,325 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8830/hooglede/rbu55625,8830,hooglede,RBU55625,685 000 €,No,No,,4,,,Yes,1,2,2,,,,,,Yes,Yes,285 kWh/m²/year,"yes, certificate in accordance",Agricultural zone,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/5300/andenne/vbd43542,5300,andenne,VBD43542,295 000 €,No,No,On contract,4,No,Yes,,,1,2,Fuel oil,No,North,2,2,Yes,Yes,322 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd32524,4030,grivegnee,VBD32524,350 000 €,No,No,On contract,3,No,Yes,Yes,,1,2,Gas,No,East,2,2,Yes,Yes,191 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd43554,1120,neder-over-heembeek,VBD43554,690 000 €,No,No,On contract,4,,,Yes,1,1,3,Gas,No,South-west,3,3,Yes,Yes,147 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd39810,1410,waterloo,VBD39810,449 000 €,No,No,,4,No,Yes,,,1,3,Gas,No,,2,2,Yes,Yes,298 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd44107,6060,gilly,VBD44107,125 000 €,No,No,,2,No,,Yes,1,1,1,,No,,,,Yes,No,707 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8700/tielt/rbu56914,8700,tielt,RBU56914,,No,,,4,,Yes,Yes,,2,,Gas,No,,,,Yes,No,184 kWh/m²/year,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/7620/jollain-merlin/vbd36576,7620,jollain-merlin,VBD36576,125 000 €,No,No,,5,No,Yes,Yes,1,1,1,Coal,No,South,3,,Yes,No,525 kWh/m²/year,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd44309,6700,arlon,VBD44309,440 000 €,No,,On contract,4,No,Yes,Yes,1,1,1,Fuel oil,No,,4,1,Yes,Yes,450 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8580/avelgem/rbu27255,8580,avelgem,RBU27255,155 000 €,No,No,On contract,2,No,Yes,Yes,1,1,1,Fuel oil,,,3,,Yes,Yes,312 kWh/m²/year,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd22082,6700,arlon,VBD22082,515 000 €,No,,On contract,4,,Yes,Yes,1,3,3,Gas,,North,2,2,Yes,Yes,238 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/master-house/for-sale/6010/couillet/vbc91771,6010,couillet,VBC91771,469 000 €,No,No,,4,No,Yes,Yes,1,2,,Fuel oil,,,4,,Yes,Yes,418 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu19525,8800,roeselare,RBU19525,290 000 €,No,No,,3,,,,,1,3,Gas,,,2,,No,No,170 kWh/m²/year,No certificate,"Residential zone (residential, urban)",(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/4219/wasseiges/vbd44721,4219,wasseiges,VBD44721,475 000 €,No,No,On contract,3,No,Yes,Yes,1,1,2,Fuel oil,No,West,4,2,Yes,Yes,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9120/haasdonk/rbu58563,9120,haasdonk,RBU58563,698 000 €,,No,,4,No,,Yes,1,2,2,Not specified,No,West,3,1,Yes,Yes,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/6240/farciennes/vbd44803,6240,farciennes,VBD44803,169 000 €,No,,,3,,Yes,,,2,,,,,2,,Yes,,514 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6560/erquelinnes/vbd44847,6560,erquelinnes,VBD44847,254 000 €,No,No,,5,,Yes,Yes,,1,,Not specified,,,4,,Yes,Yes,,,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/6560/erquelinnes/vbd44848,6560,erquelinnes,VBD44848,254 000 €,No,No,,5,,Yes,Yes,,1,,Not specified,,,4,,Yes,Yes,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8770/ingelmunster/rbu58966,8770,ingelmunster,RBU58966,230 000 €,No,No,On contract,3,,Yes,Yes,1,1,2,Gas,No,North-east,2,2,Yes,No,387 kWh/m²/year,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6210/les-bons-villers/vbd45039,6210,les-bons-villers,VBD45039,299 900 €,No,No,,3,No,Yes,,,1,2,Fuel oil,No,,2,2,Yes,Yes,269 kWh/m²/year,No certificate,,no flooding area,(information not available)
