url,postal_code,municipality,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,build_year,availability,number_of_bedrooms,livable_surface,furnished,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,garden,terrace,total_land_surface,gas,running_water,specific_primary_energy_consumption,epc_peb_reference,validity_date_epc_peb,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbu61001,2200,herentals,RBU61001,425 000 €,1 779 €,No,To be renovated,No,1984,On contract,3,378 m²,No,Yes,1,1,3,Gas,No,West,2,Yes,Yes,300 m²,Yes,Yes,482 kWh/m²/year,20251007-0003703301-RES-1,07/10/2035,"No, certificate does not comply",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8530/harelbeke/rbu61275,8530,harelbeke,RBU61275,265 000 €,892 €,No,,No,1964,,2,140 m²,,Yes,1,1,1,Gas,,,,Yes,Yes,390 m²,Yes,Yes,522 kWh/m²/year,20251024-0003718183-RES-1,24/10/2035,"No, certificate does not comply",,"Residential zone (residential, urban)",(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2480/dessel/rbu60928,2480,dessel,RBU60928,245 000 €,758 €,No,,No,1957,On contract,3,144 m²,No,Yes,1,1,1,Fuel oil,No,,3,Yes,Yes,220 m²,,Yes,629 kWh/m²/year,20250205-0003522307-RES-1,,"No, certificate does not comply",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbd46459,5500,dinant,VBD46459,259 000 €,400 €,No,Fully renovated,No,,Immediately,3,125 m²,,,,1,2,Gas,No,,2,No,Yes,66 m²,Yes,Yes,100 kWh/m²/year,,26/12/2034,"yes, certificate in accordance",No,,,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/7060/soignies/vbd46457,7060,soignies,VBD46457,480 000 €,,No,To be renovated,Yes,1903,,6,580 m²,,Yes,7,2,3,Fuel oil,No,,4,Yes,Yes,2256 m²,,,321 kWh/m²/year,,12/09/2025,,No,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5660/aublain/vbd45568,5660,aublain,VBD45568,990 000 €,,No,,No,,,29,2350 m²,No,,,14,11,Fuel oil,No,,,No,No,17470 m²,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8940/wervik/rwc41138,8940,wervik,RWC41138,249 000 €,381 €,No,Fully renovated,No,1955,On contract,5,180 m²,,,,1,,Not specified,No,,2,Yes,Yes,254 m²,Yes,Yes,272 kWh/m²/year,,,"yes, certificate in accordance",,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8670/oostduinkerke/rbu58498,8670,oostduinkerke,RBU58498,333 000 €,,No,,No,2015,On contract,2,80 m²,Yes,,,1,2,Not specified,No,South,2,Yes,Yes,146 m²,,,134 kWh/m²/year,38014-G-2012_481/EP14854/A015/D01/SD001,,,No,Residential recreation aria,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8490/jabbeke/rwc41046,8490,jabbeke,RWC41046,439 850 €,,,Excellent,,2025,On contract,4,188 m²,,Yes,,1,,Electricity,,,,Yes,Yes,,,Yes,20 kWh/m²/year,,,"yes, certificate in accordance",,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/3090/overijse/vbd46490,3090,overijse,VBD46490,420 000 €,,No,,No,1964,,3,189 m²,No,Yes,1,1,2,Fuel oil,,,4,Yes,Yes,963 m²,,Yes,498 kWh/m²/year,,25/06/2035,,Yes,,no flooding area,(information not available)
