url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/9150/bazel/rbu61997,9150,bazel,RBU61997,298000,0,0,On contract,2,0,1,1,1,1,2,Not specified,0,North-west,2,2,,,390,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/2480/dessel/rbu60928,2480,dessel,RBU60928,245000,0,0,On contract,3,0,1,1,1,1,1,Fuel oil,0,,3,,,,629,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbu61001,2200,herentals,RBU61001,425000,0,0,On contract,3,0,,1,1,1,3,Gas,0,West,2,,,,482,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/2560/nijlen/rbu59459,2560,nijlen,RBU59459,360000,0,0,On contract,3,0,1,1,1,1,1,Gas,0,South,3,,,,291,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9120/haasdonk/rbu58563,9120,haasdonk,RBU58563,698000,,0,,4,0,,1,1,2,2,Not specified,0,West,3,1,,,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8670/oostduinkerke/rbu58498,8670,oostduinkerke,RBU58498,333000,0,0,On contract,2,1,,,,1,2,Not specified,0,South,2,2,,,134,,Residential recreation aria,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8490/jabbeke/rwc41046,8490,jabbeke,RWC41046,439850,,,On contract,4,,1,1,,1,,Electricity,,,,,,,20,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8370/blankenberge/rwc41047,8370,blankenberge,RWC41047,348800,,,On contract,3,,,1,,1,,Electricity,,,,,,,20,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/5380/forville/vbd42885,5380,forville,VBD42885,895000,0,,,4,0,1,,,1,2,,0,,4,1,,,273,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/6250/aiseau-presles/vbd42976,6250,aiseau-presles,VBD42976,359000,0,,,3,,,1,1,1,2,Gas,0,,4,,,,325,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/villa/for-sale/7750/amougies/vbd48592,7750,amougies,VBD48592,375000,0,0,On contract,3,,,1,,1,,Fuel oil,,,4,,,,211,"No, certificate does not comply",,,
https://immovlan.be/en/detail/residence/for-sale/4480/engis/vbd48527,4480,engis,VBD48527,129000,0,1,,3,0,1,,,1,2,Gas,0,South-west,2,2,,,296,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8792/desselgem/rbu64864,8792,desselgem,RBU64864,249000,0,,Immediately,3,0,,,,1,2,,0,,2,2,,,456,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbu64841,3580,beringen,RBU64841,398000,0,,On contract,5,0,1,,,1,2,,0,,4,,,,55,,,,
https://immovlan.be/en/detail/residence/for-sale/3560/lummen/rbu64842,3560,lummen,RBU64842,449000,0,0,On contract,4,,,1,1,1,2,Electricity,0,South-east,2,4,,,211,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/6441/erpion/vbd48421,6441,erpion,VBD48421,155000,0,,On contract,2,0,,,,1,1,Electricity,0,,3,1,,,247,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4420/saint-nicolas/vbd48346,4420,saint-nicolas,VBD48346,159000,0,,On contract,2,0,1,,,2,1,Gas,0,,2,2,,,409,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4357/donceel/vbd48343,4357,donceel,VBD48343,1999999,,,On contract,9,1,1,1,4,6,8,Gas,0,East,4,2,,,,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9620/zottegem/rbu64767,9620,zottegem,RBU64767,395000,0,0,,3,,1,1,1,1,1,,,,2,,,,276,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/villa/for-sale/7022/hyon/vbd48353,7022,hyon,VBD48353,249000,0,0,On contract,4,0,1,1,1,1,1,Fuel oil,0,,4,1,,,613,"No, certificate does not comply",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4540/amay/vbd48357,4540,amay,VBD48357,185000,0,,On contract,4,,,,,1,2,Gas,0,,3,2,,,340,,,no flooding area,
https://immovlan.be/en/detail/bungalow/for-sale/8400/oostende/rbu64777,8400,oostende,RBU64777,348800,0,,On contract,3,0,,1,1,1,1,Electricity,0,,4,1,,,694,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8432/leffinge/rbu64776,8432,leffinge,RBU64776,134800,0,,On contract,3,0,1,,,1,1,Not specified,0,,2,3,,,1004,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/mixed-building/for-sale/8200/sint-michiels/rbu64779,8200,sint-michiels,RBU64779,474800,0,,Immediately,4,0,1,1,1,,2,Hot air,0,,4,3,,,245,"No, certificate does not comply",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8200/sint-michiels/rbu64783,8200,sint-michiels,RBU64783,769000,,,,4,0,1,1,1,2,2,,0,,3,3,,,,"yes, certificate in accordance",,no flooding area,
