url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,surface_of_living_room,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,garden,surface_garden,terrace,total_land_surface,buildable_surface,ground_depth,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,609af22983804603bea6649c89f568ac_pdf,property_type,build_year,total_surface,cellar,surface_of_the_cellar_s_,attic,wash_room,garage,number_of_parking_spaces_indoor_,kitchen_equipment,kitchen_type,surface_kitchen,type_of_glazing,alarm,fireplace,adaptations_for_elderlies,access_for_disabled,number_of_facades,number_of_parking_places_outdoor_,garden_orientation,sewer_connection,running_water,rain_water_tank,yearly_total_primary_energy_consumption,certification_gasoil_tank,building_permission_granted,g_score,p_score,water_sensitive_open_space_areas,the_property_and_or_its_surroundings_are_protected_,frontage_width,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,number_of_floors,terrain_width_at_the_roadside,gas,swimming_pool,certification_electrical_installation_validity,planning_permission_granted,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf,postal_code,municipality,number_of_garages,floor_of_appartment,surface_terrace,validity_date_epc_peb,certification_as_build_,air_conditioning,balcony,entry_phone,vat_applied_,solar_panels,floor_heating,level_e,level_k,number_of_showers,co2_emission
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61383,hoboken,RBU61383,299000.0,436.0,0.0,Normal,0.0,Negotiable,3.0,176.0,0.0,29.0,2.0,2.0,Gas,0.0,North,,30.0,,122.0,96.0,23 m,297.0,20230130-0002794914-RES-1,"yes, certificate in accordance",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu61403,merksem,RBU61403,439000.0,,0.0,Normal,0.0,,4.0,189.0,0.0,44.0,1.0,3.0,Gas,0.0,West,,114.0,,215.0,62.0,30 m,129.0,20250912-0003682885-RES-1,"yes, certificate in accordance",,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu61404,wilrijk,RBU61404,264000.0,,0.0,To be renovated,0.0,,2.0,107.0,0.0,23.0,1.0,1.0,Gas,0.0,North,,,,63.0,63.0,19 m,,20230823-0002969981-RES-2,"yes, certificate in accordance",,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu43493,deurne,RBU43493,329000.0,,0.0,To be renovated,0.0,On contract,4.0,139.0,0.0,,1.0,2.0,Gas,0.0,West,,25.0,,93.0,,,419.0,202311040003028585RES1,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu50579,borgerhout,RBU50579,340000.0,,0.0,,0.0,On contract,2.0,187.0,0.0,,1.0,2.0,Gas,0.0,North-west,,,,95.0,66.0,20 m,393.0,20250828-0003673910-RES-1,"No, certificate does not comply",1.0,"Residential zone (residential, urban)",,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61492,hoboken,RBU61492,499000.0,,0.0,,0.0,On contract,4.0,246.0,,,1.0,,Not specified,0.0,,,,,,,,0.0,20241125-0003451327-KNR-1,,,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu50511,wilrijk,RBU50511,329000.0,,0.0,Normal,,,3.0,116.0,,,1.0,,Gas,0.0,,,,,75.0,106.0,,364.0,20251002-0003670909-RES-2,,,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbu50595,berchem,RBU50595,665000.0,860.0,0.0,Normal,0.0,On contract,4.0,190.0,0.0,30.0,2.0,3.0,Gas,0.0,South,,30.0,,125.0,61.0,23 m,277.0,,"yes, certificate in accordance",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu31064,ekeren,RBU31064,399000.0,826.0,0.0,Normal,0.0,On contract,4.0,166.0,0.0,,1.0,2.0,Gas,0.0,South,,,,257.0,,,244.0,2797023,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23697,hoboken,RBU23697,364000.0,,0.0,,0.0,On contract,3.0,165.0,,,1.0,,Gas,0.0,South,,,,265.0,,,156.0,20241010-0003408093-RES-1,,0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu08868,hoboken,RBU08868,795000.0,3513.0,0.0,Normal,0.0,On contract,5.0,535.0,0.0,50.0,2.0,3.0,Gas,0.0,South,,210.0,,798.0,404.0,74 m,231.0,20250807-0003654473-RES-1,,0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu37604,deurne,RBU37604,229000.0,441.0,0.0,To be renovated,0.0,On contract,2.0,103.0,0.0,,2.0,2.0,Gas,0.0,,,,,59.0,,,439.0,202412130003479015RES1,"No, certificate does not comply",1.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu07478,wilrijk,RBU07478,385000.0,627.0,0.0,Normal,0.0,On contract,4.0,168.0,0.0,,1.0,2.0,Gas,0.0,North,,100.0,,197.0,72.0,38 m,235.0,3633162-RES-1,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu43494,ekeren,RBU43494,335000.0,726.0,0.0,Excellent,0.0,On contract,3.0,155.0,0.0,,1.0,2.0,Gas,0.0,North-west,,,,,,,178.0,20250224-0003531471-RES-3,"yes, certificate in accordance",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbs62573,antwerp,RBS62573,349000.0,,0.0,To be renovated,,On contract,5.0,181.0,0.0,,2.0,3.0,Gas,0.0,North-west,,25.0,,82.0,71.0,17 m,390.0,20250202-0003515067-RES-2,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbs93664,antwerp,RBS93664,295000.0,659.0,0.0,Excellent,0.0,,3.0,131.0,,,1.0,2.0,,,,,,,146.0,,,228.0,,"yes, certificate in accordance",,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs60539,antwerp,RBS60539,320000.0,,0.0,,,,3.0,129.0,,,1.0,,,0.0,,,,,40.0,,,266.0,20240613-0003281119-RES-1,,1.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbt79476,antwerp,RBT79476,329000.0,,0.0,,0.0,,3.0,126.0,,,1.0,2.0,Not specified,0.0,South-east,,,,125.0,,25 m,0.0,20250226-0003540264-RES-1,,0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbt96439,antwerp,RBT96439,299000.0,475.0,0.0,Normal,0.0,On contract,3.0,130.0,0.0,,1.0,2.0,Gas,0.0,South-west,,90.0,,171.0,80.0,38 m,281.0,20230906-0002982115-RES-1,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu43470,antwerp,RBU43470,480000.0,,,New,0.0,Immediately,3.0,122.0,0.0,,1.0,2.0,,0.0,South-west,,,,,,,,,"yes, certificate in accordance",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
